epoch,global_step,drift_pct,P_sink,E_src,residual,dTWC_dt,P_ratio
4,601,-3.074275,17681750000.0,-17207250000.0,-546515000.0,71892500.0,0.9692572500000001
4,651,2.44305,16512500000.0,-17466250000.0,406856000.0,546740000.0,1.0244305
4,701,5.5482499999999995,15938250000.0,-17169250000.0,882380000.0,348762500.0,1.0554825
5,751,9.227924999999999,16209000000.0,-17682250000.0,1498100000.0,-24857500.0,1.09227925
5,801,9.896374999999999,15503000000.0,-17223000000.0,1534925000.0,185002500.0,1.09896375
5,851,8.681575,15551750000.0,-17473750000.0,1342550000.0,579002500.0,1.08681575
6,901,12.30455,15176750000.0,-17290500000.0,1866575000.0,247150000.0,1.1230455
6,951,10.23525,15179000000.0,-17556250000.0,1558650000.0,818730000.0,1.1023525
6,1001,12.425875000000001,15201500000.0,-17252000000.0,1894600000.0,155945750.0,1.12425875
7,1051,14.363150000000001,14959500000.0,-17230250000.0,2149250000.0,121361500.0,1.1436315
7,1101,10.307425,15274500000.0,-17565250000.0,1575225000.0,715632500.0,1.10307425
7,1151,13.17835,15139750000.0,-17422000000.0,2001000000.0,281282500.0,1.1317835
8,1201,13.12225,15091250000.0,-17126000000.0,1983950000.0,50810750.0,1.1312225
8,1251,16.2603,14707000000.0,-17042500000.0,2395100000.0,-59164500.0,1.162603
8,1301,14.738825,14659250000.0,-17265500000.0,2163675000.0,442242500.0,1.14738825
9,1351,22.9187,14973750000.0,-17630500000.0,3429600000.0,-772877500.0,1.229187
9,1401,15.856825,14655500000.0,-17310250000.0,2324750000.0,329998250.0,1.15856825
9,1451,20.18555,14439500000.0,-17430250000.0,2914550000.0,76382250.0,1.2018555000000002
10,1501,19.0854,14423000000.0,-17442500000.0,2762050000.0,257856500.0,1.1908539999999999
10,1551,23.830125,14116500000.0,-17219000000.0,3365925000.0,-263665000.0,1.23830125
10,1601,21.703125,14132500000.0,-17275250000.0,3065100000.0,77833750.0,1.21703125
11,1651,21.635075,14357500000.0,-17466750000.0,3107200000.0,2369000.0,1.21635075
11,1701,19.637,14467250000.0,-17558750000.0,2840800000.0,250597500.0,1.19637
11,1751,22.8027,14387500000.0,-17538000000.0,3287950000.0,-137804500.0,1.228027
12,1801,19.7169,14083500000.0,-17298000000.0,2774025000.0,440727500.0,1.197169
12,1851,21.636625000000002,14000750000.0,-17381250000.0,3024750000.0,356272500.0,1.21636625
12,1901,18.104525,14162000000.0,-17376000000.0,2560875000.0,653175000.0,1.18104525
13,1951,26.79015,14477500000.0,-17737750000.0,3877400000.0,-617255000.0,1.2679015
13,2001,23.829125,14130500000.0,-17615000000.0,3368525000.0,116273150.0,1.23829125
13,2051,22.154675,13800750000.0,-17148000000.0,3058150000.0,288998800.0,1.22154675
14,2101,26.004475,14107000000.0,-17344250000.0,3659900000.0,-422134000.0,1.26004475
14,2151,24.23685,14208000000.0,-17457500000.0,3441475000.0,-192276225.0,1.2423685
14,2201,21.86375,14084750000.0,-17661500000.0,3079025000.0,497465000.0,1.2186375
15,2251,21.577025,14052500000.0,-17539750000.0,3029650000.0,457475000.0,1.21577025
15,2301,24.44225,14066000000.0,-17600000000.0,3437800000.0,96431000.0,1.2444225
15,2351,21.32705,14045000000.0,-17469000000.0,3000450000.0,423309250.0,1.2132705000000001
16,2401,23.87605,13956000000.0,-17440250000.0,3336550000.0,147781475.0,1.2387605
16,2451,24.090325,13796250000.0,-17192750000.0,3323525000.0,72826000.0,1.2409032500000001
