global_step,epoch,energy,mass,water
601,4,0.00255,0.001475,3.074275
651,4,0.00275,0.002075,2.44305
701,4,0.001875,0.0045,5.5482499999999995
751,5,0.00485,0.00535,9.227924999999999
801,5,0.008025000000000001,0.001875,9.896374999999999
851,5,0.003675,0.003925,8.681575
901,6,0.009325,0.00275,12.30455
951,6,0.0069,0.0044,10.23525
1001,6,0.009325,0.004,12.425875000000001
1051,7,0.011625,0.003425,14.363150000000001
1101,7,0.0047,0.006575,10.307425
1151,7,0.011375,0.001975,13.17835
1201,8,0.011325,0.0038125,15.5825
1251,8,0.015099999999999999,0.0046,15.6841125
1301,8,0.00795,0.004200000000000001,14.738825
1351,9,0.013774999999999999,0.011025,22.9187
1401,9,0.012875,0.0046,15.856825
1451,9,0.012025,0.0077,20.18555
1501,10,0.009825,0.005875,19.0854
1551,10,0.0165,0.0106,23.830125
1601,10,0.01145,0.00715,21.703125
1651,11,0.01425,0.0066,21.635075
1701,11,0.005125,0.0128,19.637
1751,11,0.009625,0.005825,22.8027
1801,12,0.0091375,0.0078625,21.2753125
1851,12,0.004625000000000001,0.00765,21.7076
1901,12,0.00275,0.008525,18.104525
1951,13,0.0034000000000000002,0.016050000000000002,26.79015
2001,13,0.002175,0.0077,23.829125
2051,13,0.0022,0.011300000000000001,22.154675
2101,14,0.0052,0.0132,26.004475
2151,14,0.002825,0.007575,24.23685
2201,14,0.0036249999999999998,0.005974999999999999,21.86375
2251,15,0.004200000000000001,0.007925,21.577025
2301,15,0.01125,0.01605,24.44225
2351,15,0.00485,0.007975,21.32705
2401,16,0.003925,0.0055,23.87605
2451,16,0.00325,0.0144,24.090325
