step,epoch,P_sink,drift_pct
1,0.0,16056250000.0,-563.4183
51,0.10666666666666667,18401250000.0,-3.976175
101,0.22,18399250000.0,-1.1302
151,0.3333333333333333,17959750000.0,0.08944999999999997
201,0.44,17034000000.0,-1.01305
251,0.5533333333333333,17225500000.0,0.5704750000000001
301,0.6666666666666666,17465000000.0,-0.75055
351,0.7733333333333333,16911250000.0,0.699875
401,0.8866666666666667,17152250000.0,1.346325
451,1.0,18384250000.0,0.177425
501,1.0,18741250000.0,-0.7801
551,1.0866666666666667,17532750000.0,0.64055
601,1.2,17521250000.0,-3.69665
651,1.3066666666666666,17634000000.0,1.140675
701,1.42,17430250000.0,1.32795
751,1.5333333333333332,17382750000.0,0.842125
801,1.6400000000000001,17472750000.0,2.102775
851,1.7533333333333334,17436250000.0,-0.619175
901,1.8666666666666667,17420000000.0,-2.3127
951,1.9733333333333334,17191000000.0,-1.9284249999999998
1001,2.0,17922500000.0,0.475175
1051,2.066666666666667,17388250000.0,1.187125
1101,2.1733333333333333,17277750000.0,1.8464
1151,2.2866666666666666,17195000000.0,2.3180750000000003
1201,2.4,17362000000.0,2.3664
1251,2.506666666666667,17244250000.0,-0.972075
1301,2.62,17382000000.0,2.64565
1351,2.7333333333333334,17083750000.0,-0.122875
1401,2.84,17154250000.0,3.733375
1451,2.953333333333333,17030250000.0,2.187175
1501,3.0,17122250000.0,0.45275
1551,3.04,17218750000.0,0.40197499999999997
1601,3.1533333333333333,17217500000.0,-1.7015
1651,3.2666666666666666,17290500000.0,1.04785
1701,3.3733333333333335,17270750000.0,1.238075
1751,3.486666666666667,17316500000.0,0.8992
1801,3.6,17373000000.0,-0.92435
1851,3.7066666666666666,17179000000.0,-0.204825
1901,3.82,17497250000.0,3.47345
1951,3.9333333333333336,17324750000.0,-0.794375
2001,4.0,16998500000.0,-0.031050000000000008
