step,epoch,P_sink,drift_pct
1,0.0,16056250000.0,-563.4183
51,0.10666666666666667,18701500000.0,-3.271375
101,0.22,16454500000.0,2.02345
151,0.3333333333333333,17418250000.0,-1.836325
201,0.44,16877750000.0,-2.1963749999999997
251,0.5533333333333333,17170250000.0,-1.32075
301,0.6666666666666666,17246250000.0,-1.88305
351,0.7733333333333333,17079000000.0,-1.957025
401,0.8866666666666667,17084250000.0,-2.508825
451,1.0,17615750000.0,-10.547550000000001
501,1.0,18242500000.0,2.716875
551,1.0866666666666667,17189000000.0,3.524225
601,1.2,17182750000.0,-3.264625
651,1.3066666666666666,16854000000.0,6.71415
701,1.42,17039500000.0,2.67165
751,1.5333333333333332,16860250000.0,-0.9439500000000001
801,1.6400000000000001,16841750000.0,5.0184750000000005
851,1.7533333333333334,16998500000.0,1.3355
901,1.8666666666666667,17093250000.0,-3.039375
951,1.9733333333333334,17025750000.0,2.69545
1001,2.0,17424500000.0,2.2513
1051,2.066666666666667,17107250000.0,-1.8167
1101,2.1733333333333333,16914750000.0,2.8767
1151,2.2866666666666666,17010250000.0,2.194325
1201,2.4,17275500000.0,-1.4489
1251,2.506666666666667,17210000000.0,2.021025
1301,2.62,17111500000.0,3.82215
1351,2.7333333333333334,16817000000.0,0.74095
1401,2.84,16993250000.0,4.4902
1451,2.953333333333333,16986250000.0,2.810575
1501,3.0,16852750000.0,0.205475
1551,3.04,16962750000.0,3.56005
1601,3.1533333333333333,17124000000.0,2.9709250000000003
1651,3.2666666666666666,17015000000.0,1.1761
1701,3.3733333333333335,16974500000.0,2.51185
1751,3.486666666666667,17137750000.0,3.0689
1801,3.6,17183000000.0,1.969875
1851,3.7066666666666666,17031000000.0,2.00175
1901,3.82,16926250000.0,3.30005
1951,3.9333333333333336,17115750000.0,0.5184
2001,4.0,16718500000.0,0.832875
